eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,magnitudeType,Agency
16957841,1905,3,4,15,59,53,151.225,-6.639,15.0,6.96,MW,
16957840,1905,3,4,23,17,22,149.105,-4.635,15.0,7.01,MW,
16957851,1905,5,18,13,45,27,149.949,-2.282,15.0,7.15,MW,
610548605,1905,6,9,12,31,13,162.871,-10.646,15.0,6.69,MW,
16957874,1905,9,29,11,52,8,127.465,-8.277,35.0,7.16,MW,
16957885,1906,2,19,1,59,55,160.04,-9.899,15.0,7.3,MW,
16957907,1906,6,1,4,30,50,138.56,-2.495,35.0,7.84,MW,
16957916,1906,8,26,6,1,9,144.187,-2.489,15.0,7.13,MW,
16957920,1906,9,14,16,4,43,147.216,-6.252,35.0,8.0,MW,bibliog
16957921,1906,9,17,8,38,8,149.091,-4.366,15.0,6.62,MW,
16957924,1906,10,2,1,51,51,147.589,-6.321,35.0,7.63,MW,
610548666,1906,10,28,15,50,18,101.985,-4.345,60.0,6.01,MW,
610548667,1906,10,29,1,15,53,128.202,0.185,15.0,6.35,MW,
16957931,1906,11,19,7,18,24,108.498,-21.244,10.0,7.37,MW,
16957943,1907,1,4,5,19,13,95.53,2.681,25.0,8.2,MW,bibliog
16957956,1907,5,4,5,51,1,152.821,-6.708,25.0,6.63,MW,
611389649,1907,5,13,21,0,42,149.253,-9.735,35.0,6.61,MW,
610548684,1907,5,25,11,50,28,119.791,-0.595,35.0,6.39,MW,
610548686,1907,6,24,3,36,12,118.921,1.948,35.0,6.31,MW,
610548692,1907,7,29,19,28,35,120.018,-1.112,35.0,6.34,MW,
610548701,1907,10,4,10,27,39,104.039,-6.769,15.0,6.42,MW,
610548703,1907,10,10,21,42,41,153.262,-9.094,15.0,6.25,MW,
16957978,1907,12,15,17,34,56,141.899,-2.398,15.0,6.95,MW,
610643056,1908,3,23,12,23,41,125.42,-9.04,35.0,6.79,MW,
16957992,1908,5,5,6,17,47,125.487,0.513,35.0,7.26,MW,
16958019,1909,3,17,22,53,10,121.842,-1.213,35.0,6.77,MW,
16958027,1909,4,25,22,35,50,127.123,3.117,35.0,6.5,MW,
16958028,1909,4,27,12,42,53,144.171,-3.315,15.0,7.06,MW,
16958038,1909,6,3,18,40,43,101.188,-2.713,35.0,7.58,MW,
16958095,1910,7,7,8,16,42,111.653,-9.632,35.0,6.71,MW,
16958098,1910,7,29,10,26,38,142.437,-5.297,15.0,6.58,MW,
16958106,1910,9,7,7,11,10,150.886,-6.452,15.0,6.67,MW,
16958123,1910,12,10,9,26,46,162.292,-10.68,35.0,7.46,MW,
16958127,1910,12,16,14,44,55,126.017,4.668,15.0,7.61,MW,
610643057,1910,12,18,2,45,6,125.537,4.841,35.0,6.5,MW,
16958176,1911,12,31,6,7,8,140.669,-2.305,15.0,6.81,MW,
16958206,1912,8,17,19,11,56,125.973,3.568,35.0,7.49,MW,
16958210,1912,9,11,0,47,48,96.374,4.151,75.0,6.35,MW,
16958224,1912,12,23,23,56,12,122.745,-0.676,35.0,6.67,MW,
914029,1913,1,11,13,16,58,121.928,1.373,35.0,7.11,MW,
914047,1913,3,26,21,35,49,126.719,1.928,70.0,6.21,MW,
914069,1913,5,21,13,48,36,153.1,-6.511,15.0,6.31,MW,
914073,1913,5,30,11,47,12,151.512,-4.789,15.0,7.36,MW,
914074,1913,6,4,9,57,28,144.025,-2.866,15.0,6.75,MW,
914080,1913,7,6,16,12,49,128.168,-1.377,35.0,6.5,MW,
914083,1913,7,22,6,34,33,151.682,-5.179,35.0,6.51,MW,
914089,1913,8,13,4,25,42,105.213,-6.746,35.0,6.63,MW,
914091,1913,9,3,20,51,27,153.489,-5.31,35.0,6.82,MW,
914095,1913,10,11,1,34,24,147.381,-6.763,35.0,6.76,MW,
914096,1913,10,11,4,6,16,146.249,-6.904,15.0,6.97,MW,
914101,1913,10,29,4,32,11,97.208,0.089,25.0,6.21,MW,
914104,1913,11,19,3,20,25,122.512,-2.39,35.0,6.79,MW,
913978,1914,4,11,16,30,18,162.725,-11.3,15.0,7.29,MW,
913981,1914,5,18,23,42,19,150.609,-4.634,15.0,6.13,MW,
913984,1914,5,26,14,22,46,136.944,-1.98,15.0,8.15,MW,
913987,1914,5,29,4,47,20,97.554,0.247,35.0,6.71,MW,
913990,1914,6,25,19,7,25,101.638,-4.012,35.0,7.55,MW,
913995,1914,7,5,21,51,5,136.619,-2.022,15.0,6.46,MW,
913997,1914,7,14,3,10,26,102.579,-5.305,30.0,6.32,MW,
914014,1914,10,23,6,18,45,128.022,4.206,35.0,7.48,MW,
913888,1915,4,3,13,42,51,97.121,1.363,35.0,6.24,MW,
913892,1915,4,16,13,55,49,100.714,-2.663,35.0,5.84,MW,
913901,1915,5,5,11,9,11,130.475,-6.344,35.0,6.45,MW,
