MAG,MFD_FIT,MFD_FIT_AREA_NORM
3.55,8.4604e-02,9.5087e-04
3.65,6.7201e-02,7.5528e-04
3.75,5.3378e-02,5.9992e-04
3.85,4.2398e-02,4.7651e-04
3.95,3.3676e-02,3.7848e-04
4.050000000000001,2.6748e-02,3.0062e-04
4.15,2.1244e-02,2.3877e-04
4.25,1.6873e-02,1.8964e-04
4.3500000000000005,1.3401e-02,1.5061e-04
4.450000000000001,1.0643e-02,1.1961e-04
4.550000000000001,8.4518e-03,9.4991e-05
4.65,6.7116e-03,7.5432e-05
4.750000000000001,5.3292e-03,5.9896e-05
4.850000000000001,4.2312e-03,4.7555e-05
4.950000000000001,3.3590e-03,3.7752e-05
5.050000000000001,2.6662e-03,2.9966e-05
5.150000000000001,2.1159e-03,2.3781e-05
5.250000000000002,1.6788e-03,1.8868e-05
5.350000000000001,1.3315e-03,1.4965e-05
5.450000000000001,1.0557e-03,1.1865e-05
5.550000000000002,8.3664e-04,9.4031e-06
5.650000000000002,6.6261e-04,7.4472e-06
5.750000000000002,5.2438e-04,5.8936e-06
5.850000000000001,4.1458e-04,4.6595e-06
5.950000000000002,3.2736e-04,3.6792e-06
6.0500000000000025,2.5808e-04,2.9006e-06
6.150000000000002,2.0305e-04,2.2821e-06
6.250000000000002,1.5933e-04,1.7908e-06
6.350000000000002,1.2461e-04,1.4005e-06
6.450000000000003,9.7028e-05,1.0905e-06
6.5500000000000025,7.5119e-05,8.4428e-07
6.650000000000002,5.7717e-05,6.4869e-07
6.750000000000003,4.3894e-05,4.9333e-07
6.850000000000003,3.2913e-05,3.6992e-07
6.950000000000003,2.4191e-05,2.7189e-07
7.0500000000000025,1.7263e-05,1.9402e-07
7.150000000000003,1.1760e-05,1.3217e-07
7.2500000000000036,7.3888e-06,8.3044e-08
7.350000000000003,3.9165e-06,4.4018e-08
7.450000000000003,1.1584e-06,1.3020e-08
