MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.95,2,21,8.7298e-02,7.4653e-01,8.2309e-01,1.5142e-02
3.0500000000000003,4,19,1.7460e-01,6.5924e-01,6.5684e-01,1.2083e-02
3.1500000000000004,2,15,8.7298e-02,4.8464e-01,5.2417e-01,9.6427e-03
3.2500000000000004,2,13,8.7298e-02,3.9734e-01,4.1829e-01,7.6950e-03
3.3500000000000005,1,11,4.3649e-02,3.1004e-01,3.3380e-01,6.1407e-03
3.4500000000000006,2,10,6.0772e-02,2.6640e-01,2.6638e-01,4.9003e-03
3.5500000000000007,3,8,9.1157e-02,2.0562e-01,2.1257e-01,3.9105e-03
3.650000000000001,1,5,3.0386e-02,1.1447e-01,1.6963e-01,3.1206e-03
3.750000000000001,0,4,0.0000e+00,8.4081e-02,1.3536e-01,2.4902e-03
3.850000000000001,1,4,3.0386e-02,8.4081e-02,1.0802e-01,1.9872e-03
3.950000000000001,1,3,1.8900e-02,5.3696e-02,8.6198e-02,1.5857e-03
4.050000000000001,0,2,0.0000e+00,3.4796e-02,6.8783e-02,1.2654e-03
4.150000000000001,0,2,0.0000e+00,3.4796e-02,5.4887e-02,1.0097e-03
4.250000000000002,0,2,0.0000e+00,3.4796e-02,4.3796e-02,8.0569e-04
4.350000000000001,1,2,1.8900e-02,3.4796e-02,3.4946e-02,6.4288e-04
4.450000000000001,1,1,1.5896e-02,1.5896e-02,2.7884e-02,5.1296e-04
4.550000000000002,0,0,0.0000e+00,0.0000e+00,2.2248e-02,4.0928e-04
4.650000000000002,0,0,0.0000e+00,0.0000e+00,1.7750e-02,3.2653e-04
4.750000000000002,0,0,0.0000e+00,0.0000e+00,1.4161e-02,2.6051e-04
4.850000000000001,0,0,0.0000e+00,0.0000e+00,1.1296e-02,2.0781e-04
4.950000000000002,0,0,0.0000e+00,0.0000e+00,9.0107e-03,1.6576e-04
5.0500000000000025,0,0,0.0000e+00,0.0000e+00,7.1866e-03,1.3221e-04
5.150000000000002,0,0,0.0000e+00,0.0000e+00,5.7309e-03,1.0543e-04
5.250000000000002,0,0,0.0000e+00,0.0000e+00,4.5693e-03,8.4057e-05
5.350000000000002,0,0,0.0000e+00,0.0000e+00,3.6422e-03,6.7004e-05
5.450000000000003,0,0,0.0000e+00,0.0000e+00,2.9025e-03,5.3394e-05
5.5500000000000025,0,0,0.0000e+00,0.0000e+00,2.3121e-03,4.2534e-05
5.650000000000002,0,0,0.0000e+00,0.0000e+00,1.8410e-03,3.3867e-05
5.750000000000003,0,0,0.0000e+00,0.0000e+00,1.4650e-03,2.6951e-05
5.850000000000003,0,0,0.0000e+00,0.0000e+00,1.1650e-03,2.1431e-05
5.950000000000003,0,0,0.0000e+00,0.0000e+00,9.2556e-04,1.7027e-05
6.0500000000000025,0,0,0.0000e+00,0.0000e+00,7.3449e-04,1.3512e-05
6.150000000000003,0,0,0.0000e+00,0.0000e+00,5.8201e-04,1.0707e-05
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,4.6033e-04,8.4684e-06
6.350000000000003,0,0,0.0000e+00,0.0000e+00,3.6323e-04,6.6821e-06
6.450000000000003,0,0,0.0000e+00,0.0000e+00,2.8574e-04,5.2566e-06
6.550000000000003,0,0,0.0000e+00,0.0000e+00,2.2390e-04,4.1190e-06
6.650000000000004,0,0,0.0000e+00,0.0000e+00,1.7455e-04,3.2111e-06
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,1.3517e-04,2.4867e-06
6.850000000000003,0,0,0.0000e+00,0.0000e+00,1.0375e-04,1.9085e-06
6.950000000000004,0,0,0.0000e+00,0.0000e+00,7.8666e-05,1.4472e-06
7.050000000000003,0,0,0.0000e+00,0.0000e+00,5.8652e-05,1.0790e-06
7.150000000000004,0,0,0.0000e+00,0.0000e+00,4.2680e-05,7.8516e-07
7.250000000000004,0,0,0.0000e+00,0.0000e+00,2.9935e-05,5.5069e-07
7.350000000000004,0,0,0.0000e+00,0.0000e+00,1.9763e-05,3.6357e-07
7.450000000000004,0,0,0.0000e+00,0.0000e+00,1.1647e-05,2.1425e-07
7.550000000000004,0,0,0.0000e+00,0.0000e+00,5.1691e-06,9.5093e-08
7.650000000000005,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
