MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
3.0500000000000003,0,12,0.0000e+00,3.7337e-01,4.6474e-01,2.7764e-02
3.1500000000000004,1,12,3.7399e-02,3.7337e-01,3.7334e-01,2.2304e-02
3.2500000000000004,2,11,7.4798e-02,3.3597e-01,2.9991e-01,1.7917e-02
3.3500000000000005,0,9,0.0000e+00,2.6118e-01,2.4093e-01,1.4393e-02
3.4500000000000006,2,9,7.4798e-02,2.6118e-01,1.9354e-01,1.1562e-02
3.5500000000000007,2,7,7.4798e-02,1.8638e-01,1.5547e-01,9.2882e-03
3.650000000000001,0,5,0.0000e+00,1.1158e-01,1.2489e-01,7.4612e-03
3.750000000000001,1,5,3.7399e-02,1.1158e-01,1.0033e-01,5.9936e-03
3.850000000000001,0,4,0.0000e+00,7.4181e-02,8.0589e-02,4.8145e-03
3.950000000000001,0,4,0.0000e+00,7.4181e-02,6.4735e-02,3.8673e-03
4.050000000000001,1,4,1.9328e-02,7.4181e-02,5.1998e-02,3.1064e-03
4.150000000000001,1,3,1.9328e-02,5.4853e-02,4.1766e-02,2.4952e-03
4.250000000000002,1,2,1.9328e-02,3.5525e-02,3.3547e-02,2.0041e-03
4.350000000000001,0,1,0.0000e+00,1.6197e-02,2.6943e-02,1.6096e-03
4.450000000000001,0,1,0.0000e+00,1.6197e-02,2.1639e-02,1.2927e-03
4.550000000000002,0,1,0.0000e+00,1.6197e-02,1.7377e-02,1.0381e-03
4.650000000000002,0,1,0.0000e+00,1.6197e-02,1.3954e-02,8.3363e-04
4.750000000000002,0,1,0.0000e+00,1.6197e-02,1.1204e-02,6.6933e-04
4.850000000000001,0,1,0.0000e+00,1.6197e-02,8.9945e-03,5.3734e-04
4.950000000000002,1,1,1.6197e-02,1.6197e-02,7.2197e-03,4.3131e-04
5.0500000000000025,0,0,0.0000e+00,0.0000e+00,5.7939e-03,3.4613e-04
5.150000000000002,0,0,0.0000e+00,0.0000e+00,4.6485e-03,2.7771e-04
5.250000000000002,0,0,0.0000e+00,0.0000e+00,3.7283e-03,2.2274e-04
5.350000000000002,0,0,0.0000e+00,0.0000e+00,2.9892e-03,1.7858e-04
5.450000000000003,0,0,0.0000e+00,0.0000e+00,2.3953e-03,1.4310e-04
5.5500000000000025,0,0,0.0000e+00,0.0000e+00,1.9183e-03,1.1460e-04
5.650000000000002,0,0,0.0000e+00,0.0000e+00,1.5351e-03,9.1707e-05
5.750000000000003,0,0,0.0000e+00,0.0000e+00,1.2272e-03,7.3315e-05
5.850000000000003,0,0,0.0000e+00,0.0000e+00,9.7988e-04,5.8540e-05
5.950000000000003,0,0,0.0000e+00,0.0000e+00,7.8120e-04,4.6670e-05
6.0500000000000025,0,0,0.0000e+00,0.0000e+00,6.2159e-04,3.7135e-05
6.150000000000003,0,0,0.0000e+00,0.0000e+00,4.9337e-04,2.9475e-05
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,3.9037e-04,2.3321e-05
6.350000000000003,0,0,0.0000e+00,0.0000e+00,3.0762e-04,1.8378e-05
6.450000000000003,0,0,0.0000e+00,0.0000e+00,2.4115e-04,1.4406e-05
6.550000000000003,0,0,0.0000e+00,0.0000e+00,1.8775e-04,1.1216e-05
6.650000000000004,0,0,0.0000e+00,0.0000e+00,1.4485e-04,8.6533e-06
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,1.1038e-04,6.5944e-06
6.850000000000003,0,0,0.0000e+00,0.0000e+00,8.2697e-05,4.9404e-06
6.950000000000004,0,0,0.0000e+00,0.0000e+00,6.0456e-05,3.6117e-06
7.050000000000004,0,0,0.0000e+00,0.0000e+00,4.2589e-05,2.5443e-06
7.150000000000004,0,0,0.0000e+00,0.0000e+00,2.8235e-05,1.6868e-06
7.2500000000000036,0,0,0.0000e+00,0.0000e+00,1.6705e-05,9.9795e-07
7.350000000000005,0,0,0.0000e+00,0.0000e+00,7.4414e-06,4.4456e-07
7.450000000000005,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
