MAG,MFD_FIT,MFD_FIT_AREA_NORM
3.15,1.7514e-01,2.7247e-02
3.25,1.3523e-01,2.1039e-02
3.35,1.0442e-01,1.6245e-02
3.45,8.0627e-02,1.2543e-02
3.5500000000000003,6.2255e-02,9.6851e-03
3.6500000000000004,4.8069e-02,7.4782e-03
3.7500000000000004,3.7115e-02,5.7742e-03
3.8500000000000005,2.8658e-02,4.4584e-03
3.9500000000000006,2.2127e-02,3.4424e-03
4.050000000000001,1.7084e-02,2.6579e-03
4.15,1.3191e-02,2.0521e-03
4.250000000000001,1.0184e-02,1.5844e-03
4.350000000000001,7.8630e-03,1.2233e-03
4.450000000000001,6.0705e-03,9.4441e-04
4.550000000000001,4.6864e-03,7.2909e-04
4.650000000000001,3.6178e-03,5.6283e-04
4.750000000000002,2.7926e-03,4.3445e-04
4.850000000000001,2.1554e-03,3.3532e-04
4.950000000000001,1.6634e-03,2.5878e-04
5.050000000000002,1.2835e-03,1.9968e-04
5.150000000000002,9.9020e-04,1.5405e-04
5.250000000000002,7.6371e-04,1.1881e-04
5.350000000000001,5.8882e-04,9.1605e-05
5.450000000000002,4.5379e-04,7.0597e-05
5.5500000000000025,3.4952e-04,5.4375e-05
5.650000000000002,2.6901e-04,4.1850e-05
5.750000000000002,2.0684e-04,3.2179e-05
5.850000000000002,1.5884e-04,2.4711e-05
5.950000000000003,1.2177e-04,1.8945e-05
6.0500000000000025,9.3156e-05,1.4493e-05
6.150000000000002,7.1058e-05,1.1055e-05
6.250000000000003,5.3995e-05,8.4002e-06
6.350000000000003,4.0820e-05,6.3505e-06
6.450000000000003,3.0647e-05,4.7678e-06
6.5500000000000025,2.2792e-05,3.5458e-06
6.650000000000003,1.6726e-05,2.6022e-06
6.7500000000000036,1.2043e-05,1.8736e-06
6.850000000000003,8.4268e-06,1.3110e-06
6.950000000000003,5.6345e-06,8.7658e-07
7.050000000000003,3.4785e-06,5.4116e-07
7.150000000000004,1.8138e-06,2.8217e-07
7.2500000000000036,5.2831e-07,8.2191e-08
