MAG,MFD_FIT,MFD_FIT_AREA_NORM
3.05,3.7979e-01,5.8361e-02
3.15,2.8890e-01,4.4393e-02
3.25,2.1976e-01,3.3769e-02
3.35,1.6716e-01,2.5687e-02
3.45,1.2716e-01,1.9540e-02
3.5500000000000003,9.6725e-02,1.4863e-02
3.6500000000000004,7.3576e-02,1.1306e-02
3.7500000000000004,5.5967e-02,8.6002e-03
3.8500000000000005,4.2572e-02,6.5419e-03
3.9500000000000006,3.2383e-02,4.9762e-03
4.050000000000001,2.4633e-02,3.7852e-03
4.15,1.8737e-02,2.8792e-03
4.250000000000001,1.4252e-02,2.1901e-03
4.350000000000001,1.0841e-02,1.6659e-03
4.450000000000001,8.2460e-03,1.2671e-03
4.550000000000001,6.2721e-03,9.6380e-04
4.650000000000001,4.7706e-03,7.3307e-04
4.750000000000002,3.6284e-03,5.5755e-04
4.850000000000001,2.7596e-03,4.2405e-04
4.950000000000001,2.0987e-03,3.2249e-04
5.050000000000002,1.5959e-03,2.4524e-04
5.150000000000002,1.2135e-03,1.8647e-04
5.250000000000002,9.2262e-04,1.4177e-04
5.350000000000001,7.0135e-04,1.0777e-04
5.450000000000002,5.3303e-04,8.1908e-05
5.5500000000000025,4.0499e-04,6.2233e-05
5.650000000000002,3.0760e-04,4.7267e-05
5.750000000000002,2.3351e-04,3.5883e-05
5.850000000000002,1.7716e-04,2.7223e-05
5.950000000000003,1.3429e-04,2.0636e-05
6.0500000000000025,1.0168e-04,1.5625e-05
6.150000000000002,7.6877e-05,1.1813e-05
6.250000000000003,5.8009e-05,8.9139e-06
6.350000000000003,4.3656e-05,6.7084e-06
6.450000000000003,3.2738e-05,5.0307e-06
6.5500000000000025,2.4433e-05,3.7546e-06
6.650000000000003,1.8116e-05,2.7838e-06
6.7500000000000036,1.3311e-05,2.0454e-06
6.850000000000003,9.6553e-06,1.4837e-06
6.950000000000003,6.8747e-06,1.0564e-06
7.050000000000003,4.7596e-06,7.3139e-07
7.150000000000003,3.1507e-06,4.8416e-07
7.2500000000000036,1.9269e-06,2.9609e-07
7.350000000000004,9.9589e-07,1.5303e-07
7.450000000000004,2.8773e-07,4.4214e-08
