MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.95,4,12,9.4022e-02,2.6136e-01,2.6136e-01,5.7760e-01
3.0500000000000003,4,8,9.4022e-02,1.6733e-01,1.9653e-01,4.3434e-01
3.1500000000000004,2,4,4.7011e-02,7.3313e-02,1.4779e-01,3.2661e-01
3.2500000000000004,0,2,0.0000e+00,2.6302e-02,1.1113e-01,2.4560e-01
3.3500000000000005,0,2,0.0000e+00,2.6302e-02,8.3566e-02,1.8468e-01
3.4500000000000006,1,2,1.9032e-02,2.6302e-02,6.2839e-02,1.3888e-01
3.5500000000000007,0,1,0.0000e+00,7.2704e-03,4.7253e-02,1.0443e-01
3.650000000000001,0,1,0.0000e+00,7.2704e-03,3.5532e-02,7.8527e-02
3.750000000000001,0,1,0.0000e+00,7.2704e-03,2.6719e-02,5.9050e-02
3.850000000000001,0,1,0.0000e+00,7.2704e-03,2.0092e-02,4.4403e-02
3.950000000000001,0,1,0.0000e+00,7.2704e-03,1.5108e-02,3.3389e-02
4.050000000000001,0,1,0.0000e+00,7.2704e-03,1.1361e-02,2.5107e-02
4.150000000000001,0,1,0.0000e+00,7.2704e-03,8.5427e-03,1.8880e-02
4.250000000000002,0,1,0.0000e+00,7.2704e-03,6.4237e-03,1.4197e-02
4.350000000000001,0,1,0.0000e+00,7.2704e-03,4.8303e-03,1.0675e-02
4.450000000000001,0,1,0.0000e+00,7.2704e-03,3.6320e-03,8.0268e-03
4.550000000000002,0,1,0.0000e+00,7.2704e-03,2.7310e-03,6.0356e-03
4.650000000000002,0,1,0.0000e+00,7.2704e-03,2.0535e-03,4.5382e-03
4.750000000000002,0,1,0.0000e+00,7.2704e-03,1.5440e-03,3.4122e-03
4.850000000000001,0,1,0.0000e+00,7.2704e-03,1.1608e-03,2.5655e-03
4.950000000000002,0,1,0.0000e+00,7.2704e-03,8.7274e-04,1.9288e-03
5.0500000000000025,0,1,0.0000e+00,7.2704e-03,6.5610e-04,1.4500e-03
5.150000000000002,0,1,0.0000e+00,7.2704e-03,4.9319e-04,1.0900e-03
5.250000000000002,0,1,0.0000e+00,7.2704e-03,3.7069e-04,8.1923e-04
5.350000000000002,0,1,0.0000e+00,7.2704e-03,2.7857e-04,6.1565e-04
5.450000000000003,0,1,0.0000e+00,7.2704e-03,2.0930e-04,4.6257e-04
5.5500000000000025,0,1,0.0000e+00,7.2704e-03,1.5722e-04,3.4745e-04
5.650000000000002,0,1,0.0000e+00,7.2704e-03,1.1805e-04,2.6089e-04
5.750000000000003,0,1,0.0000e+00,7.2704e-03,8.8594e-05,1.9580e-04
5.850000000000003,1,1,7.2704e-03,7.2704e-03,6.6446e-05,1.4685e-04
5.950000000000003,0,0,0.0000e+00,0.0000e+00,4.9791e-05,1.1004e-04
6.0500000000000025,0,0,0.0000e+00,0.0000e+00,3.7268e-05,8.2362e-05
6.150000000000003,0,0,0.0000e+00,0.0000e+00,2.7850e-05,6.1549e-05
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,2.0768e-05,4.5898e-05
6.350000000000003,0,0,0.0000e+00,0.0000e+00,1.5443e-05,3.4129e-05
6.450000000000003,0,0,0.0000e+00,0.0000e+00,1.1439e-05,2.5279e-05
6.550000000000003,0,0,0.0000e+00,0.0000e+00,8.4274e-06,1.8625e-05
6.650000000000004,0,0,0.0000e+00,0.0000e+00,6.1630e-06,1.3620e-05
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,4.4603e-06,9.8575e-06
6.850000000000003,0,0,0.0000e+00,0.0000e+00,3.1800e-06,7.0278e-06
6.950000000000004,0,0,0.0000e+00,0.0000e+00,2.2172e-06,4.9000e-06
7.050000000000003,0,0,0.0000e+00,0.0000e+00,1.4932e-06,3.2999e-06
7.150000000000004,0,0,0.0000e+00,0.0000e+00,9.4873e-07,2.0967e-06
7.250000000000004,0,0,0.0000e+00,0.0000e+00,5.3934e-07,1.1920e-06
7.350000000000004,0,0,0.0000e+00,0.0000e+00,2.3149e-07,5.1160e-07
7.450000000000004,0,0,0.0000e+00,0.0000e+00,-1.7142e-21,-3.7885e-21
