MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.95,0,8,0.0000e+00,3.1235e-01,3.8080e-01,8.2225e-03
3.0500000000000003,2,8,9.2002e-02,3.1235e-01,2.8967e-01,6.2547e-03
3.1500000000000004,2,6,9.2002e-02,2.2034e-01,2.2034e-01,4.7578e-03
3.2500000000000004,1,4,4.6001e-02,1.2834e-01,1.6761e-01,3.6191e-03
3.3500000000000005,0,3,0.0000e+00,8.2342e-02,1.2750e-01,2.7530e-03
3.4500000000000006,0,3,0.0000e+00,8.2342e-02,9.6983e-02,2.0941e-03
3.5500000000000007,1,3,3.1507e-02,8.2342e-02,7.3772e-02,1.5929e-03
3.650000000000001,1,2,3.1507e-02,5.0835e-02,5.6116e-02,1.2117e-03
3.750000000000001,0,1,0.0000e+00,1.9328e-02,4.2686e-02,9.2170e-04
3.850000000000001,0,1,0.0000e+00,1.9328e-02,3.2470e-02,7.0111e-04
3.950000000000001,0,1,0.0000e+00,1.9328e-02,2.4699e-02,5.3331e-04
4.050000000000001,1,1,1.9328e-02,1.9328e-02,1.8787e-02,4.0566e-04
4.150000000000001,0,0,0.0000e+00,0.0000e+00,1.4291e-02,3.0857e-04
4.250000000000002,0,0,0.0000e+00,0.0000e+00,1.0870e-02,2.3471e-04
4.350000000000001,0,0,0.0000e+00,0.0000e+00,8.2682e-03,1.7853e-04
4.450000000000001,0,0,0.0000e+00,0.0000e+00,6.2890e-03,1.3580e-04
4.550000000000002,0,0,0.0000e+00,0.0000e+00,4.7835e-03,1.0329e-04
4.650000000000002,0,0,0.0000e+00,0.0000e+00,3.6383e-03,7.8560e-05
4.750000000000002,0,0,0.0000e+00,0.0000e+00,2.7672e-03,5.9750e-05
4.850000000000001,0,0,0.0000e+00,0.0000e+00,2.1045e-03,4.5442e-05
4.950000000000002,0,0,0.0000e+00,0.0000e+00,1.6004e-03,3.4557e-05
5.0500000000000025,0,0,0.0000e+00,0.0000e+00,1.2170e-03,2.6278e-05
5.150000000000002,0,0,0.0000e+00,0.0000e+00,9.2533e-04,1.9980e-05
5.250000000000002,0,0,0.0000e+00,0.0000e+00,7.0347e-04,1.5190e-05
5.350000000000002,0,0,0.0000e+00,0.0000e+00,5.3470e-04,1.1546e-05
5.450000000000003,0,0,0.0000e+00,0.0000e+00,4.0632e-04,8.7736e-06
5.5500000000000025,0,0,0.0000e+00,0.0000e+00,3.0867e-04,6.6650e-06
5.650000000000002,0,0,0.0000e+00,0.0000e+00,2.3439e-04,5.0610e-06
5.750000000000003,0,0,0.0000e+00,0.0000e+00,1.7788e-04,3.8409e-06
5.850000000000003,0,0,0.0000e+00,0.0000e+00,1.3490e-04,2.9128e-06
5.950000000000003,0,0,0.0000e+00,0.0000e+00,1.0220e-04,2.2068e-06
6.0500000000000025,0,0,0.0000e+00,0.0000e+00,7.7333e-05,1.6698e-06
6.150000000000003,0,0,0.0000e+00,0.0000e+00,5.8415e-05,1.2613e-06
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,4.4024e-05,9.5059e-07
6.350000000000003,0,0,0.0000e+00,0.0000e+00,3.3077e-05,7.1422e-07
6.450000000000003,0,0,0.0000e+00,0.0000e+00,2.4750e-05,5.3442e-07
6.550000000000003,0,0,0.0000e+00,0.0000e+00,1.8416e-05,3.9765e-07
6.650000000000004,0,0,0.0000e+00,0.0000e+00,1.3598e-05,2.9361e-07
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,9.9326e-06,2.1447e-07
6.850000000000003,0,0,0.0000e+00,0.0000e+00,7.1447e-06,1.5427e-07
6.950000000000004,0,0,0.0000e+00,0.0000e+00,5.0239e-06,1.0848e-07
7.050000000000003,0,0,0.0000e+00,0.0000e+00,3.4107e-06,7.3646e-08
7.150000000000004,0,0,0.0000e+00,0.0000e+00,2.1836e-06,4.7150e-08
7.250000000000004,0,0,0.0000e+00,0.0000e+00,1.2502e-06,2.6994e-08
7.350000000000004,0,0,0.0000e+00,0.0000e+00,5.4012e-07,1.1663e-08
7.450000000000004,0,0,0.0000e+00,0.0000e+00,-4.1931e-21,-9.0540e-23
