MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
3.0500000000000003,8,49,2.1103e-01,1.2238e+00,1.2562e+00,1.2752e-01
3.1500000000000004,10,41,2.6378e-01,1.0127e+00,9.6993e-01,9.8462e-02
3.2500000000000004,7,31,1.8465e-01,7.4895e-01,7.4892e-01,7.6027e-02
3.3500000000000005,6,24,1.5827e-01,5.6430e-01,5.7827e-01,5.8703e-02
3.4500000000000006,3,18,7.9135e-02,4.0603e-01,4.4651e-01,4.5327e-02
3.5500000000000007,3,15,7.9135e-02,3.2690e-01,3.4476e-01,3.4999e-02
3.650000000000001,3,12,7.9135e-02,2.4776e-01,2.6620e-01,2.7023e-02
3.750000000000001,2,9,5.2756e-02,1.6863e-01,2.0554e-01,2.0866e-02
3.850000000000001,0,7,0.0000e+00,1.1587e-01,1.5870e-01,1.6111e-02
3.950000000000001,0,7,0.0000e+00,1.1587e-01,1.2254e-01,1.2439e-02
4.050000000000001,2,7,3.7800e-02,1.1587e-01,9.4611e-02,9.6044e-03
4.150000000000001,0,5,0.0000e+00,7.8072e-02,7.3048e-02,7.4154e-03
4.250000000000002,0,5,0.0000e+00,7.8072e-02,5.6398e-02,5.7252e-03
4.350000000000001,1,5,1.8900e-02,7.8072e-02,4.3542e-02,4.4202e-03
4.450000000000001,1,4,1.8900e-02,5.9172e-02,3.3616e-02,3.4125e-03
4.550000000000002,0,3,0.0000e+00,4.0272e-02,2.5951e-02,2.6344e-03
4.650000000000002,0,3,0.0000e+00,4.0272e-02,2.0032e-02,2.0336e-03
4.750000000000002,0,3,0.0000e+00,4.0272e-02,1.5462e-02,1.5697e-03
4.850000000000001,1,3,1.5896e-02,4.0272e-02,1.1934e-02,1.2114e-03
4.950000000000002,0,2,0.0000e+00,2.4377e-02,9.2091e-03,9.3485e-04
5.0500000000000025,1,2,1.5896e-02,2.4377e-02,7.1053e-03,7.2129e-04
5.150000000000002,0,1,0.0000e+00,8.4810e-03,5.4808e-03,5.5638e-04
5.250000000000002,0,1,0.0000e+00,8.4810e-03,4.2265e-03,4.2905e-04
5.350000000000002,0,1,0.0000e+00,8.4810e-03,3.2580e-03,3.3073e-04
5.450000000000003,0,1,0.0000e+00,8.4810e-03,2.5101e-03,2.5482e-04
5.5500000000000025,0,1,0.0000e+00,8.4810e-03,1.9327e-03,1.9620e-04
5.650000000000002,0,1,0.0000e+00,8.4810e-03,1.4868e-03,1.5094e-04
5.750000000000003,0,1,0.0000e+00,8.4810e-03,1.1426e-03,1.1599e-04
5.850000000000003,0,1,0.0000e+00,8.4810e-03,8.7672e-04,8.9000e-05
5.950000000000003,0,1,0.0000e+00,8.4810e-03,6.7146e-04,6.8163e-05
6.0500000000000025,0,1,0.0000e+00,8.4810e-03,5.1297e-04,5.2074e-05
6.150000000000003,1,1,8.4810e-03,8.4810e-03,3.9059e-04,3.9651e-05
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,2.9610e-04,3.0058e-05
6.350000000000003,0,0,0.0000e+00,0.0000e+00,2.2313e-04,2.2651e-05
6.450000000000003,0,0,0.0000e+00,0.0000e+00,1.6680e-04,1.6932e-05
6.550000000000003,0,0,0.0000e+00,0.0000e+00,1.2329e-04,1.2516e-05
6.650000000000004,0,0,0.0000e+00,0.0000e+00,8.9705e-05,9.1063e-06
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,6.3768e-05,6.4734e-06
6.850000000000003,0,0,0.0000e+00,0.0000e+00,4.3742e-05,4.4404e-06
6.950000000000004,0,0,0.0000e+00,0.0000e+00,2.8278e-05,2.8707e-06
7.050000000000004,0,0,0.0000e+00,0.0000e+00,1.6338e-05,1.6586e-06
7.150000000000004,0,0,0.0000e+00,0.0000e+00,7.1188e-06,7.2266e-07
7.2500000000000036,0,0,0.0000e+00,0.0000e+00,-5.3566e-20,-5.4378e-21
