MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
3.0500000000000003,9,42,2.3740e-01,1.0136e+00,9.6615e-01,2.8660e-02
3.1500000000000004,2,33,5.2756e-02,7.7620e-01,7.7614e-01,2.3023e-02
3.2500000000000004,6,31,1.5827e-01,7.2345e-01,6.2349e-01,1.8495e-02
3.3500000000000005,4,25,1.0551e-01,5.6518e-01,5.0086e-01,1.4857e-02
3.4500000000000006,2,21,5.2756e-02,4.5966e-01,4.0235e-01,1.1935e-02
3.5500000000000007,4,19,1.0551e-01,4.0691e-01,3.2321e-01,9.5877e-03
3.650000000000001,3,15,7.9135e-02,3.0140e-01,2.5964e-01,7.7018e-03
3.750000000000001,0,12,0.0000e+00,2.2226e-01,2.0857e-01,6.1868e-03
3.850000000000001,1,12,2.6378e-02,2.2226e-01,1.6754e-01,4.9697e-03
3.950000000000001,0,11,0.0000e+00,1.9588e-01,1.3458e-01,3.9920e-03
4.050000000000001,4,11,7.5600e-02,1.9588e-01,1.0810e-01,3.2066e-03
4.150000000000001,1,7,1.8900e-02,1.2028e-01,8.6828e-02,2.5756e-03
4.250000000000002,0,6,0.0000e+00,1.0138e-01,6.9740e-02,2.0687e-03
4.350000000000001,2,6,3.7800e-02,1.0138e-01,5.6013e-02,1.6615e-03
4.450000000000001,0,4,0.0000e+00,6.3583e-02,4.4985e-02,1.3344e-03
4.550000000000002,1,4,1.5896e-02,6.3583e-02,3.6126e-02,1.0716e-03
4.650000000000002,0,3,0.0000e+00,4.7687e-02,2.9009e-02,8.6050e-04
4.750000000000002,1,3,1.5896e-02,4.7687e-02,2.3292e-02,6.9091e-04
4.850000000000001,1,2,1.5896e-02,3.1791e-02,1.8699e-02,5.5467e-04
4.950000000000002,0,1,0.0000e+00,1.5896e-02,1.5009e-02,4.4522e-04
5.0500000000000025,0,1,0.0000e+00,1.5896e-02,1.2045e-02,3.5729e-04
5.150000000000002,0,1,0.0000e+00,1.5896e-02,9.6637e-03,2.8666e-04
5.250000000000002,1,1,1.5896e-02,1.5896e-02,7.7508e-03,2.2992e-04
5.350000000000002,0,0,0.0000e+00,0.0000e+00,6.2141e-03,1.8433e-04
5.450000000000003,0,0,0.0000e+00,0.0000e+00,4.9796e-03,1.4771e-04
5.5500000000000025,0,0,0.0000e+00,0.0000e+00,3.9879e-03,1.1830e-04
5.650000000000002,0,0,0.0000e+00,0.0000e+00,3.1912e-03,9.4663e-05
5.750000000000003,0,0,0.0000e+00,0.0000e+00,2.5512e-03,7.5678e-05
5.850000000000003,0,0,0.0000e+00,0.0000e+00,2.0371e-03,6.0427e-05
5.950000000000003,0,0,0.0000e+00,0.0000e+00,1.6240e-03,4.8175e-05
6.0500000000000025,0,0,0.0000e+00,0.0000e+00,1.2922e-03,3.8332e-05
6.150000000000003,0,0,0.0000e+00,0.0000e+00,1.0257e-03,3.0425e-05
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,8.1154e-04,2.4073e-05
6.350000000000003,0,0,0.0000e+00,0.0000e+00,6.3951e-04,1.8970e-05
6.450000000000003,0,0,0.0000e+00,0.0000e+00,5.0132e-04,1.4871e-05
6.550000000000003,0,0,0.0000e+00,0.0000e+00,3.9030e-04,1.1578e-05
6.650000000000004,0,0,0.0000e+00,0.0000e+00,3.0112e-04,8.9323e-06
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,2.2947e-04,6.8070e-06
6.850000000000003,0,0,0.0000e+00,0.0000e+00,1.7192e-04,5.0997e-06
6.950000000000004,0,0,0.0000e+00,0.0000e+00,1.2568e-04,3.7282e-06
7.050000000000004,0,0,0.0000e+00,0.0000e+00,8.8537e-05,2.6263e-06
7.150000000000004,0,0,0.0000e+00,0.0000e+00,5.8698e-05,1.7412e-06
7.2500000000000036,0,0,0.0000e+00,0.0000e+00,3.4727e-05,1.0301e-06
7.350000000000005,0,0,0.0000e+00,0.0000e+00,1.5470e-05,4.5889e-07
7.450000000000005,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
