MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.95,23,88,4.3773e-01,1.6657e+00,1.6657e+00,1.2674e+00
3.0500000000000003,14,65,2.6645e-01,1.2279e+00,1.2308e+00,9.3651e-01
3.1500000000000004,8,51,1.5226e-01,9.6150e-01,9.0947e-01,6.9201e-01
3.2500000000000004,13,43,2.4741e-01,8.0924e-01,6.7203e-01,5.1134e-01
3.3500000000000005,5,30,9.5159e-02,5.6183e-01,4.9658e-01,3.7784e-01
3.4500000000000006,8,25,1.5226e-01,4.6667e-01,3.6693e-01,2.7920e-01
3.5500000000000007,4,17,7.6128e-02,3.1441e-01,2.7114e-01,2.0630e-01
3.650000000000001,5,13,9.5159e-02,2.3829e-01,2.0035e-01,1.5244e-01
3.750000000000001,2,8,3.8064e-02,1.4313e-01,1.4804e-01,1.1264e-01
3.850000000000001,2,6,3.8064e-02,1.0506e-01,1.0939e-01,8.3235e-02
3.950000000000001,1,4,1.9032e-02,6.6999e-02,8.0831e-02,6.1504e-02
4.050000000000001,2,3,3.1978e-02,4.7967e-02,5.9728e-02,4.5446e-02
4.150000000000001,1,1,1.5989e-02,1.5989e-02,4.4134e-02,3.3581e-02
4.250000000000002,0,0,0.0000e+00,0.0000e+00,3.2611e-02,2.4813e-02
4.350000000000001,0,0,0.0000e+00,0.0000e+00,2.4097e-02,1.8335e-02
4.450000000000001,0,0,0.0000e+00,0.0000e+00,1.7805e-02,1.3548e-02
4.550000000000002,0,0,0.0000e+00,0.0000e+00,1.3156e-02,1.0010e-02
4.650000000000002,0,0,0.0000e+00,0.0000e+00,9.7208e-03,7.3964e-03
4.750000000000002,0,0,0.0000e+00,0.0000e+00,7.1824e-03,5.4650e-03
4.850000000000001,0,0,0.0000e+00,0.0000e+00,5.3067e-03,4.0378e-03
4.950000000000002,0,0,0.0000e+00,0.0000e+00,3.9207e-03,2.9832e-03
5.0500000000000025,0,0,0.0000e+00,0.0000e+00,2.8966e-03,2.2040e-03
5.150000000000002,0,0,0.0000e+00,0.0000e+00,2.1398e-03,1.6282e-03
5.250000000000002,0,0,0.0000e+00,0.0000e+00,1.5806e-03,1.2027e-03
5.350000000000002,0,0,0.0000e+00,0.0000e+00,1.1674e-03,8.8829e-04
5.450000000000003,0,0,0.0000e+00,0.0000e+00,8.6212e-04,6.5598e-04
5.5500000000000025,0,0,0.0000e+00,0.0000e+00,6.3651e-04,4.8431e-04
5.650000000000002,0,0,0.0000e+00,0.0000e+00,4.6980e-04,3.5747e-04
5.750000000000003,0,0,0.0000e+00,0.0000e+00,3.4662e-04,2.6374e-04
5.850000000000003,0,0,0.0000e+00,0.0000e+00,2.5559e-04,1.9448e-04
5.950000000000003,0,0,0.0000e+00,0.0000e+00,1.8833e-04,1.4330e-04
6.0500000000000025,0,0,0.0000e+00,0.0000e+00,1.3863e-04,1.0548e-04
6.150000000000003,0,0,0.0000e+00,0.0000e+00,1.0191e-04,7.7540e-05
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,7.4770e-05,5.6892e-05
6.350000000000003,0,0,0.0000e+00,0.0000e+00,5.4718e-05,4.1634e-05
6.450000000000003,0,0,0.0000e+00,0.0000e+00,3.9901e-05,3.0360e-05
6.550000000000003,0,0,0.0000e+00,0.0000e+00,2.8953e-05,2.2030e-05
6.650000000000004,0,0,0.0000e+00,0.0000e+00,2.0863e-05,1.5874e-05
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,1.4885e-05,1.1325e-05
6.850000000000003,0,0,0.0000e+00,0.0000e+00,1.0467e-05,7.9644e-06
6.950000000000004,0,0,0.0000e+00,0.0000e+00,7.2031e-06,5.4808e-06
7.050000000000003,0,0,0.0000e+00,0.0000e+00,4.7913e-06,3.6456e-06
7.150000000000004,0,0,0.0000e+00,0.0000e+00,3.0091e-06,2.2896e-06
7.250000000000004,0,0,0.0000e+00,0.0000e+00,1.6921e-06,1.2875e-06
7.350000000000004,0,0,0.0000e+00,0.0000e+00,7.1905e-07,5.4712e-07
7.450000000000004,0,0,0.0000e+00,0.0000e+00,-5.4227e-21,-4.1260e-21
