MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
3.45,1,4,2.3305e-02,9.3218e-02,9.3215e-02,2.8289e-03
3.5500000000000003,0,3,0.0000e+00,6.9914e-02,7.2625e-02,2.2040e-03
3.6500000000000004,0,3,0.0000e+00,6.9914e-02,5.6582e-02,1.7171e-03
3.7500000000000004,0,3,0.0000e+00,6.9914e-02,4.4083e-02,1.3378e-03
3.8500000000000005,0,3,0.0000e+00,6.9914e-02,3.4345e-02,1.0423e-03
3.9500000000000006,0,3,0.0000e+00,6.9914e-02,2.6758e-02,8.1205e-04
4.050000000000001,0,3,0.0000e+00,6.9914e-02,2.0847e-02,6.3266e-04
4.15,0,3,0.0000e+00,6.9914e-02,1.6242e-02,4.9290e-04
4.250000000000001,1,3,2.3305e-02,6.9914e-02,1.2653e-02,3.8401e-04
4.350000000000001,1,2,2.3305e-02,4.6609e-02,9.8579e-03,2.9917e-04
4.450000000000001,0,1,0.0000e+00,2.3305e-02,7.6798e-03,2.3307e-04
4.550000000000001,0,1,0.0000e+00,2.3305e-02,5.9829e-03,1.8157e-04
4.650000000000001,1,1,2.3305e-02,2.3305e-02,4.6608e-03,1.4144e-04
4.750000000000002,0,0,0.0000e+00,0.0000e+00,3.6307e-03,1.1018e-04
4.850000000000001,0,0,0.0000e+00,0.0000e+00,2.8281e-03,8.5827e-05
4.950000000000001,0,0,0.0000e+00,0.0000e+00,2.2029e-03,6.6852e-05
5.050000000000002,0,0,0.0000e+00,0.0000e+00,1.7157e-03,5.2067e-05
5.150000000000002,0,0,0.0000e+00,0.0000e+00,1.3361e-03,4.0549e-05
5.250000000000002,0,0,0.0000e+00,0.0000e+00,1.0404e-03,3.1575e-05
5.350000000000001,0,0,0.0000e+00,0.0000e+00,8.1003e-04,2.4583e-05
5.450000000000002,0,0,0.0000e+00,0.0000e+00,6.3053e-04,1.9135e-05
5.5500000000000025,0,0,0.0000e+00,0.0000e+00,4.9068e-04,1.4891e-05
5.650000000000002,0,0,0.0000e+00,0.0000e+00,3.8172e-04,1.1584e-05
5.750000000000002,0,0,0.0000e+00,0.0000e+00,2.9682e-04,9.0079e-06
5.850000000000002,0,0,0.0000e+00,0.0000e+00,2.3068e-04,7.0007e-06
5.950000000000003,0,0,0.0000e+00,0.0000e+00,1.7915e-04,5.4368e-06
6.0500000000000025,0,0,0.0000e+00,0.0000e+00,1.3900e-04,4.2184e-06
6.150000000000002,0,0,0.0000e+00,0.0000e+00,1.0772e-04,3.2691e-06
6.250000000000003,0,0,0.0000e+00,0.0000e+00,8.3350e-05,2.5295e-06
6.350000000000003,0,0,0.0000e+00,0.0000e+00,6.4363e-05,1.9533e-06
6.450000000000003,0,0,0.0000e+00,0.0000e+00,4.9569e-05,1.5043e-06
6.5500000000000025,0,0,0.0000e+00,0.0000e+00,3.8043e-05,1.1545e-06
6.650000000000003,0,0,0.0000e+00,0.0000e+00,2.9063e-05,8.8201e-07
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,2.2067e-05,6.6969e-07
6.850000000000003,0,0,0.0000e+00,0.0000e+00,1.6616e-05,5.0426e-07
6.950000000000003,0,0,0.0000e+00,0.0000e+00,1.2369e-05,3.7538e-07
7.050000000000003,0,0,0.0000e+00,0.0000e+00,9.0604e-06,2.7496e-07
7.150000000000004,0,0,0.0000e+00,0.0000e+00,6.4825e-06,1.9673e-07
7.2500000000000036,0,0,0.0000e+00,0.0000e+00,4.4740e-06,1.3578e-07
7.350000000000003,0,0,0.0000e+00,0.0000e+00,2.9091e-06,8.8286e-08
7.450000000000004,0,0,0.0000e+00,0.0000e+00,1.6900e-06,5.1286e-08
7.550000000000003,0,0,0.0000e+00,0.0000e+00,7.4007e-07,2.2459e-08
7.650000000000004,0,0,0.0000e+00,0.0000e+00,-5.7962e-21,-1.7590e-22
