1973 09 13 0257 139.447 -32.907   3.0 3.19 MW ML2MW
1975 03 15 1620 139.692 -33.055   0.0 3.36 MW ML2MW
1977 09 28 1918 139.309 -32.273   9.7 3.58 MW ML2MW
1999 12 31 0848 139.366 -33.163   6.0 2.97 MW ML2MW
2010 11 29 2008 139.564 -32.120   8.6 3.42 MW ML2MW
2011 05 24 1027 139.331 -33.182   6.5 3.73 MW ML2MW
2011 10 22 1718 139.518 -32.115   4.0 3.07 MW ML2MW
2014 04 29 0954 139.559 -32.816   2.8 4.12 MW Ghasemi et al (2016)
2014 08 01 0637 139.490 -33.090   7.9 3.31 MW ML2MW
2018 06 04 1338 139.723 -32.997  10.0 2.98 MW ML2MW
2022 03 12 1142 139.308 -33.113   0.6 3.18 MW ML2MW
