MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.95,3,15,1.3800e-01,5.7475e-01,5.6561e-01,1.4310e-02
3.0500000000000003,2,12,9.2002e-02,4.3674e-01,4.3673e-01,1.1049e-02
3.1500000000000004,2,10,9.2002e-02,3.4474e-01,3.3722e-01,8.5314e-03
3.2500000000000004,2,8,9.2002e-02,2.5274e-01,2.6038e-01,6.5875e-03
3.3500000000000005,1,6,4.6001e-02,1.6074e-01,2.0105e-01,5.0864e-03
3.4500000000000006,1,5,3.1507e-02,1.1474e-01,1.5524e-01,3.9274e-03
3.5500000000000007,0,4,0.0000e+00,8.3230e-02,1.1987e-01,3.0325e-03
3.650000000000001,0,4,0.0000e+00,8.3230e-02,9.2552e-02,2.3415e-03
3.750000000000001,0,4,0.0000e+00,8.3230e-02,7.1462e-02,1.8079e-03
3.850000000000001,1,4,3.1507e-02,8.3230e-02,5.5177e-02,1.3959e-03
3.950000000000001,0,3,0.0000e+00,5.1722e-02,4.2603e-02,1.0778e-03
4.050000000000001,0,3,0.0000e+00,5.1722e-02,3.2894e-02,8.3219e-04
4.150000000000001,0,3,0.0000e+00,5.1722e-02,2.5397e-02,6.4252e-04
4.250000000000002,1,3,1.9328e-02,5.1722e-02,1.9608e-02,4.9607e-04
4.350000000000001,0,2,0.0000e+00,3.2395e-02,1.5139e-02,3.8299e-04
4.450000000000001,0,2,0.0000e+00,3.2395e-02,1.1687e-02,2.9568e-04
4.550000000000002,1,2,1.6197e-02,3.2395e-02,9.0224e-03,2.2826e-04
4.650000000000002,1,1,1.6197e-02,1.6197e-02,6.9647e-03,1.7620e-04
4.750000000000002,0,0,0.0000e+00,0.0000e+00,5.3759e-03,1.3600e-04
4.850000000000001,0,0,0.0000e+00,0.0000e+00,4.1490e-03,1.0497e-04
4.950000000000002,0,0,0.0000e+00,0.0000e+00,3.2018e-03,8.1002e-05
5.0500000000000025,0,0,0.0000e+00,0.0000e+00,2.4703e-03,6.2497e-05
5.150000000000002,0,0,0.0000e+00,0.0000e+00,1.9055e-03,4.8209e-05
5.250000000000002,0,0,0.0000e+00,0.0000e+00,1.4694e-03,3.7176e-05
5.350000000000002,0,0,0.0000e+00,0.0000e+00,1.1327e-03,2.8657e-05
5.450000000000003,0,0,0.0000e+00,0.0000e+00,8.7271e-04,2.2079e-05
5.5500000000000025,0,0,0.0000e+00,0.0000e+00,6.7195e-04,1.7000e-05
5.650000000000002,0,0,0.0000e+00,0.0000e+00,5.1693e-04,1.3078e-05
5.750000000000003,0,0,0.0000e+00,0.0000e+00,3.9724e-04,1.0050e-05
5.850000000000003,0,0,0.0000e+00,0.0000e+00,3.0482e-04,7.7116e-06
5.950000000000003,0,0,0.0000e+00,0.0000e+00,2.3345e-04,5.9061e-06
6.0500000000000025,0,0,0.0000e+00,0.0000e+00,1.7835e-04,4.5120e-06
6.150000000000003,0,0,0.0000e+00,0.0000e+00,1.3580e-04,3.4356e-06
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,1.0295e-04,2.6044e-06
6.350000000000003,0,0,0.0000e+00,0.0000e+00,7.7578e-05,1.9627e-06
6.450000000000003,0,0,0.0000e+00,0.0000e+00,5.7991e-05,1.4671e-06
6.550000000000003,0,0,0.0000e+00,0.0000e+00,4.2866e-05,1.0845e-06
6.650000000000004,0,0,0.0000e+00,0.0000e+00,3.1188e-05,7.8903e-07
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,2.2171e-05,5.6090e-07
6.850000000000003,0,0,0.0000e+00,0.0000e+00,1.5208e-05,3.8475e-07
6.950000000000004,0,0,0.0000e+00,0.0000e+00,9.8317e-06,2.4873e-07
7.050000000000003,0,0,0.0000e+00,0.0000e+00,5.6804e-06,1.4371e-07
7.150000000000004,0,0,0.0000e+00,0.0000e+00,2.4750e-06,6.2616e-08
7.250000000000004,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
