MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.95,110,368,2.1261e+00,7.0236e+00,7.0236e+00,1.3901e+00
3.0500000000000003,65,258,1.2563e+00,4.8975e+00,5.1935e+00,1.0279e+00
3.1500000000000004,43,193,8.3110e-01,3.6412e+00,3.8403e+00,7.6003e-01
3.2500000000000004,53,150,1.0244e+00,2.8101e+00,2.8396e+00,5.6199e-01
3.3500000000000005,16,97,3.0925e-01,1.7858e+00,2.0997e+00,4.1556e-01
3.4500000000000006,22,81,4.2521e-01,1.4765e+00,1.5526e+00,3.0728e-01
3.5500000000000007,9,59,1.7395e-01,1.0513e+00,1.1480e+00,2.2721e-01
3.650000000000001,14,50,2.7059e-01,8.7735e-01,8.4890e-01,1.6801e-01
3.750000000000001,7,36,1.3530e-01,6.0676e-01,6.2770e-01,1.2423e-01
3.850000000000001,4,29,7.7312e-02,4.7146e-01,4.6414e-01,9.1859e-02
3.950000000000001,3,25,5.7984e-02,3.9415e-01,3.4320e-01,6.7924e-02
4.050000000000001,6,22,9.7184e-02,3.3617e-01,2.5377e-01,5.0225e-02
4.150000000000001,5,16,8.0986e-02,2.3898e-01,1.8765e-01,3.7137e-02
4.250000000000002,2,11,3.2395e-02,1.5800e-01,1.3875e-01,2.7460e-02
4.350000000000001,2,9,3.2395e-02,1.2560e-01,1.0259e-01,2.0305e-02
4.450000000000001,1,7,1.6197e-02,9.3208e-02,7.5859e-02,1.5013e-02
4.550000000000002,3,6,4.1818e-02,7.7011e-02,5.6091e-02,1.1101e-02
4.650000000000002,0,3,0.0000e+00,3.5192e-02,4.1473e-02,8.2080e-03
4.750000000000002,1,3,1.3939e-02,3.5192e-02,3.0664e-02,6.0688e-03
4.850000000000001,0,2,0.0000e+00,2.1253e-02,2.2672e-02,4.4871e-03
4.950000000000002,1,2,1.3939e-02,2.1253e-02,1.6762e-02,3.3174e-03
5.0500000000000025,0,1,0.0000e+00,7.3132e-03,1.2392e-02,2.4526e-03
5.150000000000002,0,1,0.0000e+00,7.3132e-03,9.1610e-03,1.8131e-03
5.250000000000002,0,1,0.0000e+00,7.3132e-03,6.7716e-03,1.3402e-03
5.350000000000002,0,1,0.0000e+00,7.3132e-03,5.0049e-03,9.9052e-04
5.450000000000003,0,1,0.0000e+00,7.3132e-03,3.6985e-03,7.3197e-04
5.5500000000000025,0,1,0.0000e+00,7.3132e-03,2.7325e-03,5.4079e-04
5.650000000000002,0,1,0.0000e+00,7.3132e-03,2.0182e-03,3.9942e-04
5.750000000000003,1,1,7.3132e-03,7.3132e-03,1.4900e-03,2.9489e-04
5.850000000000003,0,0,0.0000e+00,0.0000e+00,1.0995e-03,2.1759e-04
5.950000000000003,0,0,0.0000e+00,0.0000e+00,8.1067e-04,1.6044e-04
6.0500000000000025,0,0,0.0000e+00,0.0000e+00,5.9713e-04,1.1818e-04
6.150000000000003,0,0,0.0000e+00,0.0000e+00,4.3923e-04,8.6929e-05
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,3.2248e-04,6.3822e-05
6.350000000000003,0,0,0.0000e+00,0.0000e+00,2.3614e-04,4.6736e-05
6.450000000000003,0,0,0.0000e+00,0.0000e+00,1.7231e-04,3.4101e-05
6.550000000000003,0,0,0.0000e+00,0.0000e+00,1.2510e-04,2.4759e-05
6.650000000000004,0,0,0.0000e+00,0.0000e+00,9.0199e-05,1.7851e-05
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,6.4390e-05,1.2743e-05
6.850000000000003,0,0,0.0000e+00,0.0000e+00,4.5305e-05,8.9664e-06
6.950000000000004,0,0,0.0000e+00,0.0000e+00,3.1194e-05,6.1736e-06
7.050000000000003,0,0,0.0000e+00,0.0000e+00,2.0759e-05,4.1085e-06
7.150000000000004,0,0,0.0000e+00,0.0000e+00,1.3043e-05,2.5814e-06
7.250000000000004,0,0,0.0000e+00,0.0000e+00,7.3381e-06,1.4523e-06
7.350000000000004,0,0,0.0000e+00,0.0000e+00,3.1194e-06,6.1737e-07
7.450000000000004,0,0,0.0000e+00,0.0000e+00,-2.3588e-20,-4.6682e-21
