MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
3.0500000000000003,9,88,2.3740e-01,2.1875e+00,2.5676e+00,6.0978e-02
3.1500000000000004,12,79,3.1654e-01,1.9501e+00,2.0320e+00,4.8258e-02
3.2500000000000004,20,67,5.2756e-01,1.6335e+00,1.6082e+00,3.8191e-02
3.3500000000000005,7,47,1.8465e-01,1.1060e+00,1.2727e+00,3.0225e-02
3.4500000000000006,3,40,7.9135e-02,9.2133e-01,1.0072e+00,2.3920e-02
3.5500000000000007,4,37,1.0551e-01,8.4220e-01,7.9710e-01,1.8930e-02
3.650000000000001,9,33,2.3740e-01,7.3668e-01,6.3082e-01,1.4981e-02
3.750000000000001,2,24,5.2756e-02,4.9928e-01,4.9923e-01,1.1856e-02
3.850000000000001,4,22,1.0551e-01,4.4652e-01,3.9508e-01,9.3825e-03
3.950000000000001,2,18,5.2756e-02,3.4101e-01,3.1266e-01,7.4251e-03
4.050000000000001,5,16,9.4500e-02,2.8825e-01,2.4743e-01,5.8760e-03
4.150000000000001,2,11,3.7800e-02,1.9375e-01,1.9580e-01,4.6501e-03
4.250000000000002,3,9,5.6700e-02,1.5595e-01,1.5495e-01,3.6798e-03
4.350000000000001,3,6,5.6700e-02,9.9254e-02,1.2262e-01,2.9120e-03
4.450000000000001,0,3,0.0000e+00,4.2554e-02,9.7029e-02,2.3043e-03
4.550000000000002,2,3,3.1791e-02,4.2554e-02,7.6778e-02,1.8234e-03
4.650000000000002,0,1,0.0000e+00,1.0763e-02,6.0751e-02,1.4428e-03
4.750000000000002,0,1,0.0000e+00,1.0763e-02,4.8068e-02,1.1415e-03
4.850000000000001,0,1,0.0000e+00,1.0763e-02,3.8030e-02,9.0315e-04
4.950000000000002,0,1,0.0000e+00,1.0763e-02,3.0086e-02,7.1449e-04
5.0500000000000025,0,1,0.0000e+00,1.0763e-02,2.3799e-02,5.6518e-04
5.150000000000002,0,1,0.0000e+00,1.0763e-02,1.8823e-02,4.4702e-04
5.250000000000002,0,1,0.0000e+00,1.0763e-02,1.4885e-02,3.5350e-04
5.350000000000002,0,1,0.0000e+00,1.0763e-02,1.1769e-02,2.7950e-04
5.450000000000003,0,1,0.0000e+00,1.0763e-02,9.3027e-03,2.2093e-04
5.5500000000000025,1,1,1.0763e-02,1.0763e-02,7.3509e-03,1.7457e-04
5.650000000000002,0,0,0.0000e+00,0.0000e+00,5.8062e-03,1.3789e-04
5.750000000000003,0,0,0.0000e+00,0.0000e+00,4.5837e-03,1.0886e-04
5.850000000000003,0,0,0.0000e+00,0.0000e+00,3.6162e-03,8.5880e-05
5.950000000000003,0,0,0.0000e+00,0.0000e+00,2.8505e-03,6.7696e-05
6.0500000000000025,0,0,0.0000e+00,0.0000e+00,2.2446e-03,5.3305e-05
6.150000000000003,0,0,0.0000e+00,0.0000e+00,1.7650e-03,4.1917e-05
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,1.3855e-03,3.2903e-05
6.350000000000003,0,0,0.0000e+00,0.0000e+00,1.0851e-03,2.5770e-05
6.450000000000003,0,0,0.0000e+00,0.0000e+00,8.4743e-04,2.0125e-05
6.550000000000003,0,0,0.0000e+00,0.0000e+00,6.5930e-04,1.5657e-05
6.650000000000004,0,0,0.0000e+00,0.0000e+00,5.1042e-04,1.2122e-05
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,3.9259e-04,9.3235e-06
6.850000000000003,0,0,0.0000e+00,0.0000e+00,2.9935e-04,7.1090e-06
6.950000000000004,0,0,0.0000e+00,0.0000e+00,2.2555e-04,5.3564e-06
7.050000000000004,0,0,0.0000e+00,0.0000e+00,1.6714e-04,3.9694e-06
7.150000000000004,0,0,0.0000e+00,0.0000e+00,1.2092e-04,2.8717e-06
7.2500000000000036,0,0,0.0000e+00,0.0000e+00,8.4342e-05,2.0030e-06
7.350000000000005,0,0,0.0000e+00,0.0000e+00,5.5393e-05,1.3155e-06
7.450000000000005,0,0,0.0000e+00,0.0000e+00,3.2482e-05,7.7139e-07
7.550000000000004,0,0,0.0000e+00,0.0000e+00,1.4350e-05,3.4078e-07
7.650000000000004,0,0,0.0000e+00,0.0000e+00,-1.0880e-19,-2.5838e-21
