MAG,MFD_FIT,MFD_FIT_AREA_NORM
3.55,1.0523e-01,3.4879e-03
3.65,8.3588e-02,2.7705e-03
3.75,6.6396e-02,2.2007e-03
3.85,5.2739e-02,1.7480e-03
3.95,4.1892e-02,1.3885e-03
4.050000000000001,3.3275e-02,1.1029e-03
4.15,2.6430e-02,8.7603e-04
4.25,2.0994e-02,6.9583e-04
4.3500000000000005,1.6675e-02,5.5269e-04
4.450000000000001,1.3245e-02,4.3899e-04
4.550000000000001,1.0520e-02,3.4868e-04
4.65,8.3555e-03,2.7694e-04
4.750000000000001,6.6362e-03,2.1996e-04
4.850000000000001,5.2706e-03,1.7469e-04
4.950000000000001,4.1858e-03,1.3874e-04
5.050000000000001,3.3241e-03,1.1018e-04
5.150000000000001,2.6397e-03,8.7492e-05
5.250000000000002,2.0960e-03,6.9472e-05
5.350000000000001,1.6641e-03,5.5158e-05
5.450000000000001,1.3211e-03,4.3788e-05
5.550000000000002,1.0486e-03,3.4757e-05
5.650000000000002,8.3219e-04,2.7583e-05
5.750000000000002,6.6026e-04,2.1884e-05
5.850000000000001,5.2370e-04,1.7358e-05
5.950000000000002,4.1522e-04,1.3762e-05
6.0500000000000025,3.2905e-04,1.0906e-05
6.150000000000002,2.6061e-04,8.6378e-06
6.250000000000002,2.0624e-04,6.8358e-06
6.350000000000002,1.6305e-04,5.4044e-06
6.450000000000003,1.2875e-04,4.2674e-06
6.5500000000000025,1.0150e-04,3.3643e-06
6.650000000000002,7.9858e-05,2.6469e-06
6.750000000000003,6.2666e-05,2.0770e-06
6.850000000000003,4.9009e-05,1.6244e-06
6.950000000000003,3.8161e-05,1.2649e-06
7.0500000000000025,2.9545e-05,9.7925e-07
7.150000000000003,2.2700e-05,7.5240e-07
7.2500000000000036,1.7263e-05,5.7220e-07
7.350000000000003,1.2945e-05,4.2906e-07
7.450000000000003,9.5145e-06,3.1536e-07
7.550000000000003,6.7897e-06,2.2504e-07
7.650000000000003,4.6253e-06,1.5330e-07
7.7500000000000036,2.9060e-06,9.6320e-08
7.850000000000004,1.5404e-06,5.1056e-08
7.950000000000004,4.5561e-07,1.5101e-08
