MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
3.0500000000000003,8,58,1.9167e-01,1.1535e+00,1.1535e+00,1.5419e+00
3.1500000000000004,6,50,1.4375e-01,9.6185e-01,8.7402e-01,1.1683e+00
3.2500000000000004,7,44,1.6771e-01,8.1810e-01,6.6225e-01,8.8524e-01
3.3500000000000005,8,37,1.9167e-01,6.5039e-01,5.0179e-01,6.7075e-01
3.4500000000000006,8,29,1.2958e-01,4.5872e-01,3.8021e-01,5.0823e-01
3.5500000000000007,4,21,6.4789e-02,3.2914e-01,2.8808e-01,3.8509e-01
3.650000000000001,5,17,8.0986e-02,2.6435e-01,2.1828e-01,2.9178e-01
3.750000000000001,1,12,1.6197e-02,1.8337e-01,1.6539e-01,2.2108e-01
3.850000000000001,4,11,6.4789e-02,1.6717e-01,1.2532e-01,1.6751e-01
3.950000000000001,2,7,3.2395e-02,1.0238e-01,9.4951e-02,1.2692e-01
4.050000000000001,0,5,0.0000e+00,6.9987e-02,7.1943e-02,9.6168e-02
4.150000000000001,1,5,1.5447e-02,6.9987e-02,5.4510e-02,7.2865e-02
4.250000000000002,0,4,0.0000e+00,5.4540e-02,4.1301e-02,5.5208e-02
4.350000000000001,1,4,1.5447e-02,5.4540e-02,3.1293e-02,4.1830e-02
4.450000000000001,0,3,0.0000e+00,3.9094e-02,2.3709e-02,3.1693e-02
4.550000000000002,1,3,1.3031e-02,3.9094e-02,1.7963e-02,2.4012e-02
4.650000000000002,0,2,0.0000e+00,2.6062e-02,1.3609e-02,1.8192e-02
4.750000000000002,0,2,0.0000e+00,2.6062e-02,1.0311e-02,1.3782e-02
4.850000000000001,1,2,1.3031e-02,2.6062e-02,7.8110e-03,1.0441e-02
4.950000000000002,0,1,0.0000e+00,1.3031e-02,5.9170e-03,7.9094e-03
5.0500000000000025,1,1,1.3031e-02,1.3031e-02,4.4820e-03,5.9911e-03
5.150000000000002,0,0,0.0000e+00,0.0000e+00,3.3946e-03,4.5376e-03
5.250000000000002,0,0,0.0000e+00,0.0000e+00,2.5707e-03,3.4363e-03
5.350000000000002,0,0,0.0000e+00,0.0000e+00,1.9464e-03,2.6019e-03
5.450000000000003,0,0,0.0000e+00,0.0000e+00,1.4734e-03,1.9696e-03
5.5500000000000025,0,0,0.0000e+00,0.0000e+00,1.1150e-03,1.4905e-03
5.650000000000002,0,0,0.0000e+00,0.0000e+00,8.4347e-04,1.1275e-03
5.750000000000003,0,0,0.0000e+00,0.0000e+00,6.3771e-04,8.5244e-04
5.850000000000003,0,0,0.0000e+00,0.0000e+00,4.8180e-04,6.4403e-04
5.950000000000003,0,0,0.0000e+00,0.0000e+00,3.6367e-04,4.8612e-04
6.0500000000000025,0,0,0.0000e+00,0.0000e+00,2.7416e-04,3.6647e-04
6.150000000000003,0,0,0.0000e+00,0.0000e+00,2.0634e-04,2.7582e-04
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,1.5495e-04,2.0712e-04
6.350000000000003,0,0,0.0000e+00,0.0000e+00,1.1601e-04,1.5507e-04
6.450000000000003,0,0,0.0000e+00,0.0000e+00,8.6508e-05,1.1564e-04
6.550000000000003,0,0,0.0000e+00,0.0000e+00,6.4153e-05,8.5755e-05
6.650000000000004,0,0,0.0000e+00,0.0000e+00,4.7215e-05,6.3113e-05
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,3.4380e-05,4.5957e-05
6.850000000000003,0,0,0.0000e+00,0.0000e+00,2.4656e-05,3.2958e-05
6.950000000000004,0,0,0.0000e+00,0.0000e+00,1.7288e-05,2.3109e-05
7.050000000000004,0,0,0.0000e+00,0.0000e+00,1.1705e-05,1.5646e-05
7.150000000000004,0,0,0.0000e+00,0.0000e+00,7.4742e-06,9.9909e-06
7.2500000000000036,0,0,0.0000e+00,0.0000e+00,4.2689e-06,5.7063e-06
7.350000000000005,0,0,0.0000e+00,0.0000e+00,1.8402e-06,2.4599e-06
7.450000000000005,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
