MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.95,9,40,1.7129e-01,7.2775e-01,7.2775e-01,1.1380e-01
3.0500000000000003,11,31,2.0935e-01,5.5647e-01,5.3775e-01,8.4092e-02
3.1500000000000004,5,20,9.5159e-02,3.4711e-01,3.9736e-01,6.2137e-02
3.2500000000000004,1,15,1.9032e-02,2.5196e-01,2.9362e-01,4.5915e-02
3.3500000000000005,4,14,7.6128e-02,2.3292e-01,2.1696e-01,3.3928e-02
3.4500000000000006,2,10,3.1978e-02,1.5680e-01,1.6032e-01,2.5070e-02
3.5500000000000007,0,8,0.0000e+00,1.2482e-01,1.1846e-01,1.8525e-02
3.650000000000001,2,8,3.1978e-02,1.2482e-01,8.7535e-02,1.3688e-02
3.750000000000001,0,6,0.0000e+00,9.2840e-02,6.4681e-02,1.0115e-02
3.850000000000001,1,6,1.5989e-02,9.2840e-02,4.7794e-02,7.4739e-03
3.950000000000001,0,5,0.0000e+00,7.6852e-02,3.5316e-02,5.5226e-03
4.050000000000001,1,5,1.5989e-02,7.6852e-02,2.6096e-02,4.0807e-03
4.150000000000001,1,4,1.5989e-02,6.0863e-02,1.9283e-02,3.0153e-03
4.250000000000002,1,3,1.5989e-02,4.4874e-02,1.4248e-02,2.2281e-03
4.350000000000001,1,2,1.5989e-02,2.8885e-02,1.0528e-02,1.6463e-03
4.450000000000001,0,1,0.0000e+00,1.2896e-02,7.7792e-03,1.2165e-03
4.550000000000002,0,1,0.0000e+00,1.2896e-02,5.7480e-03,8.9885e-04
4.650000000000002,0,1,0.0000e+00,1.2896e-02,4.2471e-03,6.6415e-04
4.750000000000002,1,1,1.2896e-02,1.2896e-02,3.1381e-03,4.9072e-04
4.850000000000001,0,0,0.0000e+00,0.0000e+00,2.3186e-03,3.6257e-04
4.950000000000002,0,0,0.0000e+00,0.0000e+00,1.7130e-03,2.6787e-04
5.0500000000000025,0,0,0.0000e+00,0.0000e+00,1.2655e-03,1.9790e-04
5.150000000000002,0,0,0.0000e+00,0.0000e+00,9.3491e-04,1.4620e-04
5.250000000000002,0,0,0.0000e+00,0.0000e+00,6.9060e-04,1.0799e-04
5.350000000000002,0,0,0.0000e+00,0.0000e+00,5.1007e-04,7.9762e-05
5.450000000000003,0,0,0.0000e+00,0.0000e+00,3.7667e-04,5.8902e-05
5.5500000000000025,0,0,0.0000e+00,0.0000e+00,2.7810e-04,4.3488e-05
5.650000000000002,0,0,0.0000e+00,0.0000e+00,2.0526e-04,3.2098e-05
5.750000000000003,0,0,0.0000e+00,0.0000e+00,1.5144e-04,2.3682e-05
5.850000000000003,0,0,0.0000e+00,0.0000e+00,1.1167e-04,1.7463e-05
5.950000000000003,0,0,0.0000e+00,0.0000e+00,8.2284e-05,1.2867e-05
6.0500000000000025,0,0,0.0000e+00,0.0000e+00,6.0570e-05,9.4716e-06
6.150000000000003,0,0,0.0000e+00,0.0000e+00,4.4524e-05,6.9625e-06
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,3.2668e-05,5.1085e-06
6.350000000000003,0,0,0.0000e+00,0.0000e+00,2.3907e-05,3.7385e-06
6.450000000000003,0,0,0.0000e+00,0.0000e+00,1.7433e-05,2.7261e-06
6.550000000000003,0,0,0.0000e+00,0.0000e+00,1.2650e-05,1.9781e-06
6.650000000000004,0,0,0.0000e+00,0.0000e+00,9.1151e-06,1.4254e-06
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,6.5032e-06,1.0169e-06
6.850000000000003,0,0,0.0000e+00,0.0000e+00,4.5732e-06,7.1514e-07
6.950000000000004,0,0,0.0000e+00,0.0000e+00,3.1471e-06,4.9214e-07
7.050000000000003,0,0,0.0000e+00,0.0000e+00,2.0934e-06,3.2735e-07
7.150000000000004,0,0,0.0000e+00,0.0000e+00,1.3147e-06,2.0559e-07
7.250000000000004,0,0,0.0000e+00,0.0000e+00,7.3932e-07,1.1561e-07
7.350000000000004,0,0,0.0000e+00,0.0000e+00,3.1416e-07,4.9127e-08
7.450000000000004,0,0,0.0000e+00,0.0000e+00,-2.3692e-21,-3.7049e-22
