MAG,MFD_FIT,MFD_FIT_AREA_NORM
3.65,1.2746e-02,1.6719e-04
3.75,1.0124e-02,1.3280e-04
3.85,8.0416e-03,1.0548e-04
3.95,6.3874e-03,8.3784e-05
4.050000000000001,5.0735e-03,6.6549e-05
4.15,4.0298e-03,5.2858e-05
4.25,3.2007e-03,4.1984e-05
4.3500000000000005,2.5422e-03,3.3346e-05
4.450000000000001,2.0191e-03,2.6485e-05
4.550000000000001,1.6036e-03,2.1034e-05
4.65,1.2736e-03,1.6705e-05
4.750000000000001,1.0114e-03,1.3266e-05
4.850000000000001,8.0314e-04,1.0535e-05
4.950000000000001,6.3772e-04,8.3650e-06
5.050000000000001,5.0633e-04,6.6415e-06
5.150000000000001,4.0196e-04,5.2724e-06
5.250000000000002,3.1905e-04,4.1850e-06
5.350000000000001,2.5320e-04,3.3212e-06
5.450000000000001,2.0089e-04,2.6350e-06
5.550000000000002,1.5934e-04,2.0900e-06
5.650000000000002,1.2633e-04,1.6571e-06
5.750000000000002,1.0012e-04,1.3132e-06
5.850000000000001,7.9291e-05,1.0401e-06
5.950000000000002,6.2750e-05,8.2308e-07
6.0500000000000025,4.9610e-05,6.5073e-07
6.150000000000002,3.9173e-05,5.1383e-07
6.250000000000002,3.0883e-05,4.0509e-07
6.350000000000002,2.4297e-05,3.1871e-07
6.450000000000003,1.9066e-05,2.5009e-07
6.5500000000000025,1.4911e-05,1.9559e-07
6.650000000000002,1.1611e-05,1.5230e-07
6.750000000000003,8.9892e-06,1.1791e-07
6.850000000000003,6.9067e-06,9.0594e-08
6.950000000000003,5.2525e-06,6.8897e-08
7.0500000000000025,3.9386e-06,5.1662e-08
7.150000000000003,2.8949e-06,3.7972e-08
7.2500000000000036,2.0658e-06,2.7097e-08
7.350000000000003,1.4073e-06,1.8459e-08
7.450000000000003,8.8418e-07,1.1598e-08
7.550000000000003,4.6867e-07,6.1475e-09
7.650000000000004,1.3862e-07,1.8183e-09
