MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
3.1500000000000004,4,35,1.7460e-01,1.0586e+00,8.2830e-01,8.7768e-03
3.2500000000000004,3,31,1.3095e-01,8.8404e-01,6.9570e-01,7.3717e-03
3.3500000000000005,6,28,2.6189e-01,7.5309e-01,5.8431e-01,6.1914e-03
3.4500000000000006,6,22,1.3983e-01,4.9120e-01,4.9074e-01,5.2000e-03
3.5500000000000007,4,16,9.3218e-02,3.5137e-01,4.1215e-01,4.3672e-03
3.650000000000001,3,12,6.9914e-02,2.5816e-01,3.4613e-01,3.6676e-03
3.750000000000001,1,9,2.3305e-02,1.8824e-01,2.9067e-01,3.0800e-03
3.850000000000001,1,8,2.3305e-02,1.6494e-01,2.4409e-01,2.5864e-03
3.950000000000001,0,7,0.0000e+00,1.4163e-01,2.0496e-01,2.1718e-03
4.050000000000001,1,7,2.3305e-02,1.4163e-01,1.7209e-01,1.8235e-03
4.150000000000001,0,6,0.0000e+00,1.1833e-01,1.4448e-01,1.5310e-03
4.250000000000002,1,6,2.3305e-02,1.1833e-01,1.2129e-01,1.2852e-03
4.350000000000001,1,5,2.3305e-02,9.5025e-02,1.0181e-01,1.0788e-03
4.450000000000001,1,4,2.3305e-02,7.1720e-02,8.5448e-02,9.0541e-04
4.550000000000002,0,3,0.0000e+00,4.8416e-02,7.1702e-02,7.5976e-04
4.650000000000002,1,3,2.3305e-02,4.8416e-02,6.0156e-02,6.3742e-04
4.750000000000002,0,2,0.0000e+00,2.5111e-02,5.0457e-02,5.3465e-04
4.850000000000001,0,2,0.0000e+00,2.5111e-02,4.2310e-02,4.4832e-04
4.950000000000002,0,2,0.0000e+00,2.5111e-02,3.5467e-02,3.7581e-04
5.0500000000000025,1,2,1.6975e-02,2.5111e-02,2.9718e-02,3.1490e-04
5.150000000000002,0,1,0.0000e+00,8.1360e-03,2.4890e-02,2.6374e-04
5.250000000000002,0,1,0.0000e+00,8.1360e-03,2.0834e-02,2.2076e-04
5.350000000000002,0,1,0.0000e+00,8.1360e-03,1.7427e-02,1.8466e-04
5.450000000000003,0,1,0.0000e+00,8.1360e-03,1.4565e-02,1.5433e-04
5.5500000000000025,0,1,0.0000e+00,8.1360e-03,1.2161e-02,1.2886e-04
5.650000000000002,0,1,0.0000e+00,8.1360e-03,1.0142e-02,1.0746e-04
5.750000000000003,0,1,0.0000e+00,8.1360e-03,8.4453e-03,8.9488e-05
5.850000000000003,0,1,0.0000e+00,8.1360e-03,7.0205e-03,7.4390e-05
5.950000000000003,0,1,0.0000e+00,8.1360e-03,5.8237e-03,6.1708e-05
6.0500000000000025,1,1,8.1360e-03,8.1360e-03,4.8183e-03,5.1056e-05
6.150000000000003,0,0,0.0000e+00,0.0000e+00,3.9738e-03,4.2107e-05
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,3.2645e-03,3.4591e-05
6.350000000000003,0,0,0.0000e+00,0.0000e+00,2.6686e-03,2.8277e-05
6.450000000000003,0,0,0.0000e+00,0.0000e+00,2.1681e-03,2.2973e-05
6.550000000000003,0,0,0.0000e+00,0.0000e+00,1.7477e-03,1.8518e-05
6.650000000000004,0,0,0.0000e+00,0.0000e+00,1.3945e-03,1.4776e-05
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,1.0978e-03,1.1633e-05
6.850000000000003,0,0,0.0000e+00,0.0000e+00,8.4865e-04,8.9924e-06
6.950000000000004,0,0,0.0000e+00,0.0000e+00,6.3933e-04,6.7744e-06
7.050000000000004,0,0,0.0000e+00,0.0000e+00,4.6350e-04,4.9113e-06
7.150000000000004,0,0,0.0000e+00,0.0000e+00,3.1581e-04,3.3464e-06
7.2500000000000036,0,0,0.0000e+00,0.0000e+00,1.9175e-04,2.0318e-06
7.350000000000004,0,0,0.0000e+00,0.0000e+00,8.7537e-05,9.2755e-07
7.450000000000005,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
