MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
3.0500000000000003,221,1062,5.8296e+00,2.6812e+01,2.5956e+01,1.1157e-01
3.1500000000000004,152,841,4.0095e+00,2.0982e+01,2.0980e+01,9.0182e-02
3.2500000000000004,169,689,4.4579e+00,1.6973e+01,1.6958e+01,7.2893e-02
3.3500000000000005,108,520,2.8488e+00,1.2515e+01,1.3707e+01,5.8919e-02
3.4500000000000006,84,412,2.2158e+00,9.6659e+00,1.1079e+01,4.7623e-02
3.5500000000000007,66,328,1.7410e+00,7.4502e+00,8.9549e+00,3.8493e-02
3.650000000000001,56,262,1.4772e+00,5.7092e+00,7.2380e+00,3.1112e-02
3.750000000000001,21,206,5.5394e-01,4.2320e+00,5.8501e+00,2.5147e-02
3.850000000000001,28,185,7.3859e-01,3.6781e+00,4.7283e+00,2.0325e-02
3.950000000000001,26,157,6.8583e-01,2.9395e+00,3.8215e+00,1.6427e-02
4.050000000000001,21,131,3.9690e-01,2.2537e+00,3.0886e+00,1.3276e-02
4.150000000000001,13,110,2.4570e-01,1.8568e+00,2.4961e+00,1.0729e-02
4.250000000000002,18,97,3.4020e-01,1.6111e+00,2.0172e+00,8.6709e-03
4.350000000000001,17,79,3.2130e-01,1.2709e+00,1.6301e+00,7.0070e-03
4.450000000000001,8,62,1.5120e-01,9.4956e-01,1.3172e+00,5.6620e-03
4.550000000000002,9,54,1.4306e-01,7.9836e-01,1.0643e+00,4.5749e-03
4.650000000000002,9,45,1.4306e-01,6.5530e-01,8.5986e-01,3.6961e-03
4.750000000000002,6,36,9.5374e-02,5.1224e-01,6.9461e-01,2.9858e-03
4.850000000000001,4,30,6.3583e-02,4.1687e-01,5.6104e-01,2.4116e-03
4.950000000000002,8,26,1.2717e-01,3.5329e-01,4.5307e-01,1.9475e-03
5.0500000000000025,4,18,6.3583e-02,2.2612e-01,3.6579e-01,1.5724e-03
5.150000000000002,1,14,1.5896e-02,1.6254e-01,2.9525e-01,1.2691e-03
5.250000000000002,5,13,7.9478e-02,1.4664e-01,2.3823e-01,1.0240e-03
5.350000000000002,0,8,0.0000e+00,6.7163e-02,1.9213e-01,8.2589e-04
5.450000000000003,0,8,0.0000e+00,6.7163e-02,1.5488e-01,6.6574e-04
5.5500000000000025,0,8,0.0000e+00,6.7163e-02,1.2476e-01,5.3629e-04
5.650000000000002,0,8,0.0000e+00,6.7163e-02,1.0042e-01,4.3166e-04
5.750000000000003,0,8,0.0000e+00,6.7163e-02,8.0745e-02,3.4708e-04
5.850000000000003,1,8,1.0763e-02,6.7163e-02,6.4840e-02,2.7871e-04
5.950000000000003,0,7,0.0000e+00,5.6400e-02,5.1984e-02,2.2345e-04
6.0500000000000025,1,7,8.4810e-03,5.6400e-02,4.1593e-02,1.7878e-04
6.150000000000003,3,6,2.5443e-02,4.7919e-02,3.3193e-02,1.4268e-04
6.2500000000000036,1,3,8.4810e-03,2.2476e-02,2.6403e-02,1.1349e-04
6.350000000000003,0,2,0.0000e+00,1.3995e-02,2.0915e-02,8.9904e-05
6.450000000000003,0,2,0.0000e+00,1.3995e-02,1.6479e-02,7.0835e-05
6.550000000000003,2,2,1.3995e-02,1.3995e-02,1.2893e-02,5.5422e-05
6.650000000000004,0,0,0.0000e+00,0.0000e+00,9.9949e-03,4.2963e-05
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,7.6521e-03,3.2892e-05
6.850000000000003,0,0,0.0000e+00,0.0000e+00,5.7583e-03,2.4752e-05
6.950000000000004,0,0,0.0000e+00,0.0000e+00,4.2276e-03,1.8172e-05
7.050000000000004,0,0,0.0000e+00,0.0000e+00,2.9903e-03,1.2854e-05
7.150000000000004,0,0,0.0000e+00,0.0000e+00,1.9901e-03,8.5544e-06
7.2500000000000036,0,0,0.0000e+00,0.0000e+00,1.1817e-03,5.0794e-06
7.350000000000005,0,0,0.0000e+00,0.0000e+00,5.2821e-04,2.2705e-06
7.450000000000005,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
